count,Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
73,"R.A., Saunders, Ryan Alexander; P.R., Hollyman, Philip R.; S.E., Thorpe, Sally E.; M.A., Collins, Martin A.","Saunders, Ryan Alexander (36723452800); Hollyman, Philip R. (55843715000); Thorpe, Sally E. (55598141500); Collins, Martin A. (7404083794)",36723452800; 55843715000; 55598141500; 7404083794,Population characteristics of benthopelagic Gymnoscopelus nicholsi (Pisces: Myctophidae) on the continental shelf of South Georgia (Southern Ocean) during austral summer,2022,Polar Biology,45,5,,789,807,0,5,10.1007/s00300-022-03033-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126459624&doi=10.1007%2Fs00300-022-03033-4&partnerID=40&md5=00dcc875019e1bf1e9263b4c81bed513,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85126459624
74,"E.H., Sinclair, Elizabeth Hacker; N.A., Pelland, Noel A.; D.S., Johnson, Devin S.","Sinclair, Elizabeth Hacker (35830488300); Pelland, Noel A. (55907731100); Johnson, Devin S. (7406828372)",35830488300; 55907731100; 7406828372,Community composition and spatial energetics of mesopelagic fishes and squids in the eastern Bering Sea as influenced by habitat variables,2022,Deep-Sea Research Part I: Oceanographic Research Papers,182,,103704,,,0,7,10.1016/j.dsr.2022.103704,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124517305&doi=10.1016%2Fj.dsr.2022.103704&partnerID=40&md5=114bfc349b87f5abfe82f06be1df452a,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85124517305
75,"M.D.P., Pérez-Rojo, María Del Pilar; X.G., Moreno-Sánchez, Xchel Gabriel; E., Marin-Enriquez, Emigdio; M.S., Irigoyen-Arredondo, Marina Soledad; L.A., Abitia-Cardenas, Leonardo Andres; M.D.M., Quiroga-Samaniego, María Del Mar","Pérez-Rojo, María Del Pilar (57766528800); Moreno-Sánchez, Xchel Gabriel (35366939900); Marin-Enriquez, Emigdio (57009007800); Irigoyen-Arredondo, Marina Soledad (57191593012); Abitia-Cardenas, Leonardo Andres (6701722919); Quiroga-Samaniego, María Del Mar (57765876700)",57766528800; 35366939900; 57009007800; 57191593012; 6701722919; 57765876700,Feeding habits of the snapper Lutjanus peru in the central Gulf of California; Hábitos alimentarios del pargo Lutjanus peru en la porción central del golfo de California,2022,Ciencias Marinas,48,,e3200,,,0,3,10.7773/cm.y2022.3200,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132849476&doi=10.7773%2Fcm.y2022.3200&partnerID=40&md5=7553275b1c6193296e1788cc1ae4f831,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85132849476
76,"C., D’Iglio, Claudio; N., Porcino, Nunziatina; S., Savoca, Serena; A., Profeta, Adriana; B., Randazzo, B.; E., Armeli Minicante, Enrico; D., Salvati, Davide; F., Soraci, Francesco; P., Rinelli, Paola; D., Giordano, Daniela","D’Iglio, Claudio (57219174563); Porcino, Nunziatina (12779859500); Savoca, Serena (57205082095); Profeta, Adriana (26436032800); Randazzo, B. (26436072000); Armeli Minicante, Enrico (57556339200); Salvati, Davide (57556916100); Soraci, Francesco (57556916200); Rinelli, Paola (6602886401); Giordano, Daniela (57221435389)",57219174563; 12779859500; 57205082095; 26436032800; 26436072000; 57556339200; 57556916100; 57556916200; 6602886401; 57221435389,"Ontogenetic shift and feeding habits of the European hake (Merluccius merluccius L., 1758) in Central and Southern Tyrrhenian Sea (Western Mediterranean Sea): A comparison between past and present data",2022,Ecology and Evolution,12,3,e8634,,,0,19,10.1002/ece3.8634,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127360821&doi=10.1002%2Fece3.8634&partnerID=40&md5=0355306d6526a4bb2260579a61a7392d,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85127360821
77,"Y., Chérel, Yves; P., Bocher, Pierrick","Chérel, Yves (7006288139); Bocher, Pierrick (6603058947)",7006288139; 6603058947,Diet of the soft-plumaged petrel (Pterodroma mollis) at Kerguelen Islands and a review of the food of gadfly petrels (Pterodroma spp.) worldwide,2022,Marine Biology,169,2,31,,,0,7,10.1007/s00227-022-04019-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123069803&doi=10.1007%2Fs00227-022-04019-w&partnerID=40&md5=6816bd7c8b6d4ba47ae738b611309fc4,Article,Final,,Scopus,2-s2.0-85123069803
78,"M.A., Cox, Marjorie A.; S.A., Codde, Sarah A.; M.J., Lau, Matthew J.","Cox, Marjorie A. (58029723400); Codde, Sarah A. (57191110639); Lau, Matthew J. (56637800400)",58029723400; 57191110639; 56637800400,Juvenile Northern Elephant Seal (Mirounga angustirostris) Onshore with Prey at Point Reyes National Seashore,2022,Aquatic Mammals,48,6,,671,673,0,0,10.1578/AM.48.6.2022.671,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144680514&doi=10.1578%2FAM.48.6.2022.671&partnerID=40&md5=48f0395bdce18c4ae81bb9dc2465c3f3,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85144680514
79,"R., Wang, Rongfu; M., Chimura, Masayuki; K., Sadayasu, Kazuhiro; M., Ishino, Mitsuhiro; O., Yamamura, Orio","Wang, Rongfu (58018753400); Chimura, Masayuki (24281270900); Sadayasu, Kazuhiro (8393176700); Ishino, Mitsuhiro (57482090500); Yamamura, Orio (55892678800)",58018753400; 24281270900; 8393176700; 57482090500; 55892678800,"Summer diet and feeding strategy of Pacific cod (Gadus macrocephalus) inhabiting the southern coast of Hokkaido, Japan",2022,Marine Biology Research,18,7-Aug,,435,447,0,3,10.1080/17451000.2022.2147948,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144020254&doi=10.1080%2F17451000.2022.2147948&partnerID=40&md5=d8d69817b141173a05ae6ced75084554,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85144020254
80,"M., Mammel, Mubarak; Y., Wang, Yichen; Y., Lan, Yangchi; C., Hsu, Chienming; M., Lee, Mingan; C., Liao, Chenghsin","Mammel, Mubarak (57374361300); Wang, Yichen (55558172900); Lan, Yangchi (7102083992); Hsu, Chienming (57373463800); Lee, Mingan (7409102487); Liao, Chenghsin (7401957780)",57374361300; 55558172900; 7102083992; 57373463800; 7409102487; 7401957780,"Ontogenetic diet shifts and feeding dynamics of Trichiurus japonicus Temminck & Schlegel, 1844, off Guishan Island, Southern East China Sea",2022,Regional Studies in Marine Science,49,,102104,,,0,11,10.1016/j.rsma.2021.102104,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121244934&doi=10.1016%2Fj.rsma.2021.102104&partnerID=40&md5=e50ae3902ddd39149d3c58857a2a4244,Article,Final,,Scopus,2-s2.0-85121244934
81,"L.L., Cao, Liang Liang; Q., Li, Qingying; B., Liu, Bilin","Cao, Liang Liang (57416586100); Li, Qingying (57416594200); Liu, Bilin (23492948400)",57416586100; 57416594200; 23492948400,Preliminary analysis on the composition of fish and cephalopod in diet of Dosidicus gigas in the high sea of Eastern Pacific Ocean; 东太平洋公海茎柔鱼饵料中鱼类和头足类组成初步分析,2021,Chinese Journal of Applied Ecology,32,12,,4515,4522,0,4,10.13287/j.1001-9332.202112.042,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123025202&doi=10.13287%2Fj.1001-9332.202112.042&partnerID=40&md5=3b7b8b776ec01ad126ec96c3192ad853,Article,Final,,Scopus,2-s2.0-85123025202
82,"L.N., Eduardo, Leandro Nole; A., Bertrand, Arnaud; M.M., Mincarone, Michael Maia; J.R., Martins, Júlia Rodrigues; T., Frédou, Thierry; R.V., Assunção, Ramilla Vieira; R.S., Lima, Rayssa Siqueira; F., Ménard, Fred́éric; F., Le Loc'h, François; F.M., Lucena-Frédou, Flávia M.","Eduardo, Leandro Nole (57195218187); Bertrand, Arnaud (7102204199); Mincarone, Michael Maia (6508325326); Martins, Júlia Rodrigues (57211646203); Frédou, Thierry (13611061800); Assunção, Ramilla Vieira (56373855500); Lima, Rayssa Siqueira (58389307300); Ménard, Fred́éric (57198512593); Le Loc'h, François (57214815319); Lucena-Frédou, Flávia M. (54920925700)",57195218187; 7102204199; 6508325326; 57211646203; 13611061800; 56373855500; 58389307300; 57198512593; 57214815319; 54920925700,"Distribution, vertical migration, and trophic ecology of lanternfishes (Myctophidae) in the Southwestern Tropical Atlantic",2021,Progress in Oceanography,199,,102695,,,0,41,10.1016/j.pocean.2021.102695,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119584740&doi=10.1016%2Fj.pocean.2021.102695&partnerID=40&md5=fbc875e7ab84cf60934287463bf2d3cb,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85119584740
83,"S., Czudaj, Stephanie; R., Koppelmann, Rolf; C., Möllmann, Christian; M., Schaber, Matthias; H.O., Fock, Heino Ove","Czudaj, Stephanie (55173425100); Koppelmann, Rolf (6603072006); Möllmann, Christian (6603955209); Schaber, Matthias (23052550200); Fock, Heino Ove (7003300364)",55173425100; 6603072006; 6603955209; 23052550200; 7003300364,Community structure of mesopelagic fishes constituting sound scattering layers in the eastern tropical North Atlantic,2021,Journal of Marine Systems,224,,103635,,,0,16,10.1016/j.jmarsys.2021.103635,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114188606&doi=10.1016%2Fj.jmarsys.2021.103635&partnerID=40&md5=2778bdd27556c22fe249b20d9df5723b,Article,Final,,Scopus,2-s2.0-85114188606
84,"R., Proud, Roland; C., Le Guen, Camille; R.B., Sherley, Richard B.; A., Kato, Akiko; Y., Ropert-Coudert, Yan; N., Ratcliffe, Norman; S.N., Jarman, Simon N.; A.J., Wyness, Adam J.; J.P., Arnould, John P.Y.; R.A., Saunders, Ryan Alexander","Proud, Roland (56646339800); Le Guen, Camille (57190736211); Sherley, Richard B. (33467793500); Kato, Akiko (7403314052); Ropert-Coudert, Yan (59838575600); Ratcliffe, Norman (36028542900); Jarman, Simon N. (6701411935); Wyness, Adam J. (57207888210); Arnould, John P.Y. (7007039027); Saunders, Ryan Alexander (36723452800)",56646339800; 57190736211; 33467793500; 7403314052; 59838575600; 36028542900; 6701411935; 57207888210; 7007039027; 36723452800,Using Predicted Patterns of 3D Prey Distribution to Map King Penguin Foraging Habitat,2021,Frontiers in Marine Science,8,,745200,,,0,6,10.3389/fmars.2021.745200,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121268094&doi=10.3389%2Ffmars.2021.745200&partnerID=40&md5=05596e92fce81f9bc2015f2c685aa67d,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Final Open Access; Green Open Access,Scopus,2-s2.0-85121268094
85,"F., Zhou, Fanyu; J., Hirai, Junya; K., Hamasaki, Koji; S., Horii, Sachiko; A., Tsuda, Atsushi","Zhou, Fanyu (57325782400); Hirai, Junya (56608896400); Hamasaki, Koji (7102718564); Horii, Sachiko (56684477000); Tsuda, Atsushi (7102799069)",57325782400; 56608896400; 7102718564; 56684477000; 7102799069,Feeding Ecology of Three Euphausiid Species in the North Pacific Ocean Inferred From 18S V9 Metabarcoding and Stable Isotope Analysis,2021,Frontiers in Marine Science,8,,756067,,,0,6,10.3389/fmars.2021.756067,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118675793&doi=10.3389%2Ffmars.2021.756067&partnerID=40&md5=ed17ddc1a66a0e83ab158841cf90134d,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85118675793
86,"A.R., Carreiro, Ana Rita; J., Bried, Jöel; Z., Deakin, Zoe; K.B., Jones, Katherine Booth; R.J., Thomas, R. J.; W.O., Symondson, William O.C.; J.A., Ramos, Jaime Albino; R.J., Medeiros, Renata J.","Carreiro, Ana Rita (57202710219); Bried, Jöel (6603672600); Deakin, Zoe (57210145482); Jones, Katherine Booth (57606853200); Thomas, R. J. (57053669300); Symondson, William O.C. (7004492410); Ramos, Jaime Albino (35270086800); Medeiros, Renata J. (25027912700)",57202710219; 6603672600; 57210145482; 57606853200; 57053669300; 7004492410; 35270086800; 25027912700,First Insights into the Diet Composition of Madeiran and Monteiro's Storm Petrels (Hydrobates castro and H. monteiroi) Breeding in the Azores,2021,Waterbirds,44,3,,300,307,0,5,10.1675/063.044.0304,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128683462&doi=10.1675%2F063.044.0304&partnerID=40&md5=1df72d215c3e9c6ab361d0ffaae8c8e9,Article,Final,,Scopus,2-s2.0-85128683462
87,"J.M., Logan, John M.; W.J., Golet, Walter J.; S.C., Smith, Sean C.; J.D., Neilson, John D.; L., van Guelpen, Louis","Logan, John M. (35388967300); Golet, Walter J. (15123755200); Smith, Sean C. (55702268000); Neilson, John D. (7101613103); van Guelpen, Louis (6508262207)",35388967300; 15123755200; 55702268000; 7101613103; 6508262207,Broadbill swordfish (Xiphias gladius) foraging and vertical movements in the north-west Atlantic,2021,Journal of Fish Biology,99,2,,557,568,0,12,10.1111/jfb.14744,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114846918&doi=10.1111%2Fjfb.14744&partnerID=40&md5=8e0f5fb1e53b6d25d9ae570f1683ce4c,Article,Final,,Scopus,2-s2.0-85114846918
88,"S., Nirazuka, Satoshi; R., Makabe, Ryosuke; K.M., Swadling, Kerrie M.; M., Moteki, Masato","Nirazuka, Satoshi (57224515686); Makabe, Ryosuke (25228858500); Swadling, Kerrie M. (6603872592); Moteki, Masato (55939818400)",57224515686; 25228858500; 6603872592; 55939818400,"Phyto-detritus feeding by early-stage larvae of Electrona antarctica (Myctophidae) off Wilkes Land in the Southern Ocean, austral summer 2017",2021,Polar Biology,44,7,,1415,1425,0,4,10.1007/s00300-021-02880-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107753389&doi=10.1007%2Fs00300-021-02880-x&partnerID=40&md5=5c7d9021aac92d58e02284875652c289,Article,Final,,Scopus,2-s2.0-85107753389
89,"J., Giménez, Joan; M., Authier, Matthieu; J., Valeiras, Julio; E., Abad, Esther; A.L., Marçalo, Ana Luisa; M., Coll, Marta; P., Gauffier, Pauline; M.B., Begoña Santos, Maria Begoña; R., de Stéphanis, Renaud","Giménez, Joan (37032586500); Authier, Matthieu (15079115300); Valeiras, Julio (18839173500); Abad, Esther (25627332900); Marçalo, Ana Luisa (6505855915); Coll, Marta (57200581637); Gauffier, Pauline (37032585200); Begoña Santos, Maria Begoña (55303663600); de Stéphanis, Renaud (23566593800)",37032586500; 15079115300; 18839173500; 25627332900; 6505855915; 57200581637; 37032585200; 55303663600; 23566593800,Consumption rates and interaction with fisheries of Mediterranean common dolphins in the Alboran Sea,2021,Regional Studies in Marine Science,45,,101826,,,0,7,10.1016/j.rsma.2021.101826,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105730050&doi=10.1016%2Fj.rsma.2021.101826&partnerID=40&md5=d9e2644c8406e370ef86ea034bd62f21,Article,Final,,Scopus,2-s2.0-85105730050
90,"M.N., Bester, Marthán Nieuwoudt; L.J., Stansfield, L. J.; T.A., Glass, Trevor A.; P.J., de Bruyn, P. J.Nico","Bester, Marthán Nieuwoudt (7005684769); Stansfield, L. J. (55906318800); Glass, Trevor A. (29067796300); de Bruyn, P. J.Nico (57218176773)",7005684769; 55906318800; 29067796300; 57218176773,"Fish prey of sub-Antarctic fur seals Arctocephalus tropicalis at the Tristan da Cunha Islands, South Atlantic Ocean",2021,Polar Biology,44,5,,1015,1020,0,2,10.1007/s00300-021-02849-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103206748&doi=10.1007%2Fs00300-021-02849-w&partnerID=40&md5=a40bac8f69c624f225a20e92739be2c3,Article,Final,,Scopus,2-s2.0-85103206748
91,"J., Seco, José; S., Aparício, Sara; A.S., Brierley, Andrew S.; P., Bustamante, Paco; F.R., Ceia, Filipe Rafael; J.P., Coelho, João Pedro; R.A., Philips, Richard A.; R.A., Saunders, Ryan Alexander; S., Fielding, Sophie; S., Gregory, Susan","Seco, José (57194531827); Aparício, Sara (57197605286); Brierley, Andrew S. (7004643777); Bustamante, Paco (7005942456); Ceia, Filipe Rafael (35955666700); Coelho, João Pedro (35075745900); Philips, Richard A. (57221941927); Saunders, Ryan Alexander (36723452800); Fielding, Sophie (57189229179); Gregory, Susan (35933280600)",57194531827; 57197605286; 7004643777; 7005942456; 35955666700; 35075745900; 57221941927; 36723452800; 57189229179; 35933280600,Mercury biomagnification in a Southern Ocean food web,2021,Environmental Pollution,275,,116620,,,0,65,10.1016/j.envpol.2021.116620,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100674296&doi=10.1016%2Fj.envpol.2021.116620&partnerID=40&md5=4b9f9df9a286426b1b282f707cec4e26,Article,Final,All Open Access; Bronze Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85100674296
92,"Y., Zhang, Yanwu; B., Kieft, Brian; B.W., Hobson, Brett W.; B.Y., Raanan, Ben Yair; S.S., Urmy, Samuel S.; K.J., Pitz, Kathleen Johnson; C.M., Preston, Christina M.; B.A., Roman, Brent A.; K.J., Benoit-Bird, Kelly J.; J.M., Birch, James M.","Zhang, Yanwu (56151331500); Kieft, Brian (24734075600); Hobson, Brett W. (21742663500); Raanan, Ben Yair (56491253800); Urmy, Samuel S. (36769620200); Pitz, Kathleen Johnson (57200306930); Preston, Christina M. (7202709446); Roman, Brent A. (15763708400); Benoit-Bird, Kelly J. (6602482714); Birch, James M. (26532234500)",56151331500; 24734075600; 21742663500; 56491253800; 36769620200; 57200306930; 7202709446; 15763708400; 6602482714; 26532234500,Persistent Sampling of Vertically Migrating Biological Layers by an Autonomous Underwater Vehicle within the Beam of a Seabed-Mounted Echosounder,2021,IEEE Journal of Oceanic Engineering,46,2,9093878,497,508,0,14,10.1109/JOE.2020.2982811,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104484720&doi=10.1109%2FJOE.2020.2982811&partnerID=40&md5=9324ff95382439ecc08dca38127c5b14,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85104484720
93,"D.L., Cohen, Daniel L.; L.E., Beckley, Lynnath E.","Cohen, Daniel L. (57219604631); Beckley, Lynnath E. (7004088439)",57219604631; 7004088439,"Diet and prey selectivity of the mesopelagic lanternfish Myctophum asperum from the Perth Canyon, Western Australia",2021,Ichthyological Research,68,2,,294,302,0,5,10.1007/s10228-020-00782-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094176907&doi=10.1007%2Fs10228-020-00782-2&partnerID=40&md5=de66d14cb6c68af33669b81bba806ca9,Article,Final,,Scopus,2-s2.0-85094176907
94,"J.L., Coletto, J. L.; S., Botta, Silvina; L.G., Fischer, Luciano Gomes; S.D., Newsome, Seth D.; L.S.P., Madureira, Lauro Saint Pastous","Coletto, J. L. (57192928578); Botta, Silvina (18933767100); Fischer, Luciano Gomes (35800812100); Newsome, Seth D. (9437256200); Madureira, Lauro Saint Pastous (55969298200)",57192928578; 18933767100; 35800812100; 9437256200; 55969298200,Isotope-based inferences of skipjack tuna feeding ecology and movement in the southwestern Atlantic Ocean,2021,Marine Environmental Research,165,,105246,,,0,27,10.1016/j.marenvres.2020.105246,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100108282&doi=10.1016%2Fj.marenvres.2020.105246&partnerID=40&md5=7167d924cbfc20ff851f46e356e87e55,Article,Final,,Scopus,2-s2.0-85100108282
95,"R.A., Saunders, Ryan Alexander; S.A.P., Lourenço, Sílvia A.P.; R.P., Vieira, Rui Pedro; M.A., Collins, Martin A.; J.C., Xavier, José C.","Saunders, Ryan Alexander (36723452800); Lourenço, Sílvia A.P. (56363467000); Vieira, Rui Pedro (55241467300); Collins, Martin A. (7404083794); Xavier, José C. (57545827600)",36723452800; 56363467000; 55241467300; 7404083794; 57545827600,Length–weight and otolith size to standard length relationships in 12 species of Southern Ocean Myctophidae: A tool for predator diet studies,2021,Journal of Applied Ichthyology,37,1,,140,144,0,9,10.1111/jai.14126,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093942407&doi=10.1111%2Fjai.14126&partnerID=40&md5=9835bd4fdd765456aff769a0079b775f,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85093942407
96,"A., Salarpouri, Ali; T., Valinasab, Touraj; S., Behzadi, S.; F., Kaymaram, Farhad; M., Darvishi, Mohammad; R., Dehghani, Reza","Salarpouri, Ali (56578507400); Valinasab, Touraj (56018288000); Behzadi, S. (54889067000); Kaymaram, Farhad (26026573600); Darvishi, Mohammad (47361022700); Dehghani, Reza (16038589900)",56578507400; 56018288000; 54889067000; 26026573600; 47361022700; 16038589900,"Reproduction biology and feeding habits of the black mouth croaker, Atrobucca nibe (Jordan & Thompson, 1911), from Northwest of the Oman Sea",2021,Iranian Journal of Fisheries Sciences,20,3,,901,917,0,4,10.22092/ijfs.2021.124193,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110760653&doi=10.22092%2Fijfs.2021.124193&partnerID=40&md5=a97862ef71d22765e4b9013e9c9b5528,Article,Final,,Scopus,2-s2.0-85110760653
97,"F.E., Dakwa, F. E.; P.G., Ryan, Peter G.; B.M., Dyer, Bruce M.; R.J.M., Crawford, Robert J.M.; P.A., Pistorius, Pierre A.; A.B., Makhado, Azwianewi B.","Dakwa, F. E. (57224567917); Ryan, Peter G. (7402920679); Dyer, Bruce M. (7006602012); Crawford, Robert J.M. (7402584631); Pistorius, Pierre A. (7006186946); Makhado, Azwianewi B. (8143413600)",57224567917; 7402920679; 7006602012; 7402584631; 7006186946; 8143413600,Long-term variation in the breeding diets of macaroni and eastern rockhopper penguins at Marion Island (1994–2018),2021,African Journal of Marine Science,43,2,,187,199,0,2,10.2989/1814232X.2021.1901248,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107976261&doi=10.2989%2F1814232X.2021.1901248&partnerID=40&md5=726df8c8461de597370beac90e9f9058,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85107976261
98,"A., Habano, Akimasa; T., Kobari, Tohru; W., Ohbayashi, Wataru; G., Kume, Gen","Habano, Akimasa (6507339600); Kobari, Tohru (7003472503); Ohbayashi, Wataru (57217292345); Kume, Gen (12787447800)",6507339600; 7003472503; 57217292345; 12787447800,"Feeding habits of the skinnycheek lanternfish [Benthosema pterotum (Alcock, 1890)] in Kagoshima Bay, southern Japan",2021,Ichthyological Research,68,1,,164,170,0,6,10.1007/s10228-020-00758-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087036140&doi=10.1007%2Fs10228-020-00758-2&partnerID=40&md5=3ecca8dd1e9a51810a4087c033f14871,Article,Final,,Scopus,2-s2.0-85087036140
99,"M.S., Woodstock, Matthew S.; C.A., Blanar, Christopher A.; T.T., Sutton, Tracey T.","Woodstock, Matthew S. (57210190371); Blanar, Christopher A. (8614433500); Sutton, Tracey T. (7102027540)",57210190371; 8614433500; 7102027540,Diet and parasites of a mesopelagic fish assemblage in the Gulf of Mexico,2020,Marine Biology,167,12,184,,,0,15,10.1007/s00227-020-03796-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096385413&doi=10.1007%2Fs00227-020-03796-6&partnerID=40&md5=114cd12eda3481a8b853578137c49594,Article,Final,,Scopus,2-s2.0-85096385413
100,"J., Mir-Arguimbau, Joan; J., Navarro, Joan; M., Balcells, Marc; P., Martin, Paloma; A., Sabatés, Ana","Mir-Arguimbau, Joan (57207207118); Navarro, Joan (15835212200); Balcells, Marc (57215009146); Martin, Paloma (7406037326); Sabatés, Ana (6602858768)",57207207118; 15835212200; 57215009146; 7406037326; 6602858768,Feeding ecology of blue whiting (Micromesistius poutassou) in the NW Mediterranean: The important role of Myctophidae,2020,Deep-Sea Research Part I: Oceanographic Research Papers,166,,103404,,,0,15,10.1016/j.dsr.2020.103404,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092013576&doi=10.1016%2Fj.dsr.2020.103404&partnerID=40&md5=b47af3358a630ceb2393d2235a12419b,Article,Final,,Scopus,2-s2.0-85092013576
101,"C., Lauritano, Chiara; K.A., Martínez Andrade, Kevin A.; P., Battaglia, Pietro; A., Granata, Antonia; M.L., de la Cruz, Mercedes L.; B., Cautain, Bastien; J.M., Martín, Jesús M.; F., Reyes, F.; A., Ianora, Adrianna; L., Guglielmo, Letterio","Lauritano, Chiara (38861965400); Martínez Andrade, Kevin A. (57209746295); Battaglia, Pietro (24343082200); Granata, Antonia (57208908943); de la Cruz, Mercedes L. (9841792700); Cautain, Bastien (56495139000); Martín, Jesús M. (56365072300); Reyes, F. (57447965900); Ianora, Adrianna (57201181406); Guglielmo, Letterio (57210844575)",38861965400; 57209746295; 24343082200; 57208908943; 9841792700; 56495139000; 56365072300; 57447965900; 57201181406; 57210844575,First evidence of anticancer and antimicrobial activity in Mediterranean mesopelagic species,2020,Scientific Reports,10,1,4929,,,0,24,10.1038/s41598-020-61515-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082062398&doi=10.1038%2Fs41598-020-61515-z&partnerID=40&md5=0f9536f4d0de1614ff2c7dc36a9a0672,Article,Final,All Open Access; Gold Open Access; Green Final Open Access; Green Open Access,Scopus,2-s2.0-85082062398
102,"C.H., Lin, Chien Hsiang; J.S., Lin, Jing Siang; K., Chen, Kuoshu; M., Chen, Menghsien; C.Y., Chen, Chiee Young; C., Chang, Chihwei","Lin, Chien Hsiang (56654488400); Lin, Jing Siang (57220047469); Chen, Kuoshu (55821123800); Chen, Menghsien (7406353875); Chen, Chiee Young (8559378000); Chang, Chihwei (35302013800)",56654488400; 57220047469; 55821123800; 7406353875; 8559378000; 35302013800,Feeding Habits of Bigeye Tuna (Thunnus obesus) in the Western Indian Ocean Reveal a Size-Related Shift in Its Fine-Scale Piscivorous Diet,2020,Frontiers in Marine Science,7,,582571,,,0,15,10.3389/fmars.2020.582571,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096716756&doi=10.3389%2Ffmars.2020.582571&partnerID=40&md5=e0ea96dc7e5a04cb93f5258298dc2f67,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85096716756
103,"T.M., Richards, Travis M.; T.T., Sutton, Tracey T.; R.J.D., Wells, R. J.David","Richards, Travis M. (57192155563); Sutton, Tracey T. (7102027540); Wells, R. J.David (7402058735)",57192155563; 7102027540; 7402058735,Trophic Structure and Sources of Variation Influencing the Stable Isotope Signatures of Meso- and Bathypelagic Micronekton Fishes,2020,Frontiers in Marine Science,7,,507992,,,0,34,10.3389/fmars.2020.507992,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096373985&doi=10.3389%2Ffmars.2020.507992&partnerID=40&md5=bf08377aa54933fd1a3272b5d96aa785,Article,Final,All Open Access; Gold Open Access; Green Final Open Access; Green Open Access,Scopus,2-s2.0-85096373985
104,"T., Yano, Toshikazu; S., Ohshimo, Seiji; T., Sakai, Takeshi; M., Yoda, Mari","Yano, Toshikazu (56088437100); Ohshimo, Seiji (6603119123); Sakai, Takeshi (55941049600); Yoda, Mari (14061364800)",56088437100; 6603119123; 55941049600; 14061364800,Erratum: Filling gaps in the biology and habitat use of two spurdog sharks (Squalus japonicus and Squalus brevirostris) in the East China Sea (Marine and Freshwater Research (2020) DOI: 10.1071/MF19131),2020,Marine and Freshwater Research,71,12,,1732,,0,0,10.1071/MF19131_CO,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097253282&doi=10.1071%2FMF19131_CO&partnerID=40&md5=a049ae4eacbd8285263e2e4d6700cd3b,Erratum,Final,,Scopus,2-s2.0-85097253282
